run,rs,pathlen
1,-4,5
2,-4,5
3,-4,5
4,-4,5
5,-4,5
6,-4,5
7,-4,5
8,-4,5
9,-4,5
10,-4,5
11,-4,5
12,-4,5
13,-4,5
14,-4,5
15,-4,5
16,-4,5
17,-4,5
18,-4,5
19,-4,5
20,-4,5
21,-4,5
22,-4,5
23,-4,5
24,-4,5
25,-4,5
26,-4,5
27,-4,5
28,-4,5
29,-4,5
30,-4,5
31,-4,5
32,-4,5
33,-4,5
34,-4,5
35,-4,5
36,-4,5
37,-4,5
38,-4,5
39,-4,5
40,-4,5
41,-4,5
42,-4,5
43,-4,5
44,-4,5
45,-4,5
46,-4,5
47,-4,5
48,-4,5
49,-4,5
50,-4,5
1,-1,5
2,-1,5
3,-1,5
4,-1,5
5,-1,5
6,-1,5
7,-1,5
8,-1,5
9,-1,7
10,-1,7
11,-1,5
12,-1,5
13,-1,5
14,-1,5
15,-1,5
16,-1,5
17,-1,5
18,-1,5
19,-1,5
20,-1,5
21,-1,7
22,-1,7
23,-1,5
24,-1,7
25,-1,5
26,-1,5
27,-1,5
28,-1,5
29,-1,5
30,-1,7
31,-1,5
32,-1,5
33,-1,5
34,-1,5
35,-1,5
36,-1,5
37,-1,5
38,-1,7
39,-1,5
40,-1,5
41,-1,7
42,-1,5
43,-1,5
44,-1,7
45,-1,5
46,-1,7
47,-1,5
48,-1,5
49,-1,7
50,-1,5
1,0,7
2,0,7
3,0,5
4,0,5
5,0,5
6,0,5
7,0,5
8,0,5
9,0,5
10,0,5
11,0,5
12,0,5
13,0,5
14,0,5
15,0,5
16,0,5
17,0,5
18,0,7
19,0,5
20,0,5
21,0,5
22,0,5
23,0,7
24,0,7
25,0,7
26,0,5
27,0,5
28,0,5
29,0,5
30,0,5
31,0,5
32,0,9
33,0,5
34,0,7
35,0,5
36,0,5
37,0,5
38,0,5
39,0,5
40,0,5
41,0,5
42,0,5
43,0,5
44,0,7
45,0,5
46,0,5
47,0,5
48,0,5
49,0,5
50,0,11
1,1,5
2,1,9
3,1,7
4,1,7
5,1,9
6,1,7
7,1,7
8,1,7
9,1,9
10,1,5
11,1,9
12,1,7
13,1,7
14,1,7
15,1,5
16,1,5
17,1,5
18,1,7
19,1,7
20,1,7
21,1,7
22,1,7
23,1,9
24,1,7
25,1,7
26,1,7
27,1,7
28,1,11
29,1,9
30,1,7
31,1,7
32,1,7
33,1,9
34,1,5
35,1,9
36,1,11
37,1,9
38,1,5
39,1,5
40,1,7
41,1,11
42,1,11
43,1,9
44,1,11
45,1,7
46,1,7
47,1,9
48,1,7
49,1,9
50,1,9
